               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11855,            0.045075,            0.074563,           0.0013773,             0.12096,           0.0010382,          0.00023876,            0.097237,            0.031301,             0.06879,              0.0946,              0.0006,              0.0006
                   1,             0.09794,            0.052572,            0.069405,           0.0067497,             0.45248,            0.021056,           0.0069497,            0.070444,            0.031038,            0.062606,            0.088287,           0.0012871,           0.0012871
                   2,            0.077869,            0.053533,            0.063874,             0.18128,              0.1665,            0.079727,            0.023192,            0.058695,            0.027853,            0.058141,             0.08196,           0.0019604,           0.0019604
                   3,            0.066955,            0.048302,            0.059466,             0.52101,             0.18346,              0.1337,            0.042222,            0.056086,            0.040135,            0.057191,             0.07562,           0.0026198,           0.0026198
                   4,            0.060136,            0.042606,            0.057609,             0.32313,             0.35465,             0.14274,            0.049784,            0.052164,             0.03091,            0.054296,            0.069265,           0.0032654,           0.0032654
                   5,            0.059368,            0.038218,            0.055501,             0.43976,             0.34083,             0.24197,             0.11585,            0.045196,            0.020505,            0.051353,            0.062897,            0.003897,            0.003897
                   6,            0.057679,            0.036399,            0.053767,             0.60085,             0.29763,             0.23512,             0.12486,            0.052736,            0.020066,            0.048429,            0.056515,           0.0045149,           0.0045149
                   7,             0.05801,            0.035315,            0.052619,             0.60828,             0.34425,             0.30201,             0.13561,            0.047358,            0.017626,            0.049276,            0.050119,           0.0051188,           0.0051188
                   8,            0.055951,            0.031057,             0.05098,             0.62083,             0.34846,              0.3036,               0.152,            0.046483,            0.015751,            0.046242,            0.043709,            0.005709,            0.005709
                   9,            0.055867,            0.031773,            0.050024,             0.45815,              0.4191,             0.36594,             0.17836,            0.043396,             0.01419,            0.043897,            0.037285,           0.0062852,           0.0062852
                  10,            0.052494,            0.031772,            0.047725,             0.39221,             0.46229,             0.34179,             0.16693,            0.049018,            0.015265,            0.042006,            0.030848,           0.0068476,           0.0068476
                  11,            0.051093,            0.031959,            0.046154,             0.42807,             0.49825,             0.40058,             0.19257,            0.040162,            0.013903,            0.040977,            0.024396,           0.0073961,           0.0073961
                  12,            0.051068,            0.029555,            0.043332,             0.38652,             0.60161,             0.44532,             0.23693,            0.044707,            0.014309,            0.037057,            0.017931,           0.0079308,           0.0079308
                  13,            0.049454,            0.029078,            0.042158,             0.41872,             0.61571,             0.51393,             0.25606,            0.039136,            0.013829,            0.033925,            0.011452,           0.0084516,           0.0084516
                  14,            0.047335,            0.027842,            0.040256,             0.43542,              0.6064,             0.53217,             0.25465,            0.044356,            0.015717,            0.031369,            0.008614,            0.008614,            0.008614
                  15,            0.045874,            0.027372,            0.038086,             0.69799,             0.59614,             0.63909,             0.29048,            0.040289,            0.014088,            0.028712,            0.008614,            0.008614,            0.008614
                  16,            0.043598,            0.028247,            0.036726,             0.50334,             0.62955,             0.62697,             0.33718,             0.03888,            0.013343,            0.027758,            0.008515,            0.008515,            0.008515
                  17,            0.041123,              0.0261,             0.03403,             0.63309,             0.62307,             0.64905,             0.36406,            0.031595,            0.012927,            0.027295,            0.008416,            0.008416,            0.008416
                  18,            0.039362,            0.026588,            0.033208,             0.67762,             0.69782,             0.73422,             0.44628,            0.028815,            0.011336,            0.023426,            0.008317,            0.008317,            0.008317
                  19,            0.038162,            0.025514,            0.030639,             0.61873,              0.7384,             0.74468,             0.48893,            0.027024,            0.010788,            0.022783,            0.008218,            0.008218,            0.008218
                  20,            0.037314,            0.025072,             0.02856,             0.53468,             0.58712,             0.55827,             0.33488,            0.032775,            0.015394,            0.026009,            0.008119,            0.008119,            0.008119
                  21,            0.036901,            0.025273,            0.027054,             0.62009,             0.76911,             0.73549,             0.48307,            0.027232,            0.012534,            0.021327,             0.00802,             0.00802,             0.00802
                  22,            0.035987,             0.02437,            0.025561,             0.57256,              0.7863,             0.71168,             0.43044,            0.031217,            0.012828,            0.020307,            0.007921,            0.007921,            0.007921
                  23,            0.034891,            0.024432,            0.025509,             0.71428,             0.78605,             0.79573,             0.48714,             0.02778,            0.011594,            0.018585,            0.007822,            0.007822,            0.007822
                  24,            0.033815,            0.024192,            0.024493,             0.76023,             0.88444,              0.8838,             0.56724,            0.027201,            0.010778,            0.016356,            0.007723,            0.007723,            0.007723
                  25,            0.034276,            0.024517,            0.022747,             0.75027,             0.93261,             0.88859,             0.60937,            0.024144,           0.0098541,            0.016059,            0.007624,            0.007624,            0.007624
                  26,            0.033609,            0.024383,            0.020967,              0.7259,             0.91476,             0.86727,             0.61382,            0.027419,            0.010528,            0.014676,            0.007525,            0.007525,            0.007525
                  27,             0.03304,            0.024576,            0.020607,             0.82568,             0.92434,             0.90013,             0.62127,            0.022441,           0.0098278,             0.01489,            0.007426,            0.007426,            0.007426
                  28,            0.032537,            0.024983,            0.018374,             0.82422,              0.9354,             0.91271,              0.6516,            0.025847,           0.0099996,            0.013572,            0.007327,            0.007327,            0.007327
                  29,            0.032388,            0.023859,             0.01884,             0.86008,             0.93041,              0.9195,             0.67513,            0.022284,            0.009636,            0.011893,            0.007228,            0.007228,            0.007228
                  30,            0.030959,            0.021632,            0.017105,             0.83075,             0.94292,             0.92208,             0.68295,            0.022653,           0.0094724,            0.010836,            0.007129,            0.007129,            0.007129
                  31,            0.030836,            0.023537,            0.017412,             0.79488,              0.9538,             0.90863,             0.60794,             0.02542,           0.0093617,            0.011082,             0.00703,             0.00703,             0.00703
                  32,            0.029674,            0.022412,            0.016161,             0.86851,             0.94177,             0.92249,             0.67524,            0.020133,            0.009281,            0.011239,            0.006931,            0.006931,            0.006931
                  33,            0.029962,            0.022743,             0.01635,             0.87395,             0.94395,             0.93916,             0.68678,            0.022644,           0.0093197,           0.0094605,            0.006832,            0.006832,            0.006832
                  34,             0.02958,            0.021764,             0.01522,             0.86134,              0.9392,             0.92556,             0.70934,            0.020748,           0.0097976,           0.0095446,            0.006733,            0.006733,            0.006733
                  35,            0.029927,            0.023091,            0.015324,             0.88591,             0.97151,             0.94147,              0.7341,            0.020314,           0.0089819,           0.0088207,            0.006634,            0.006634,            0.006634
                  36,             0.02873,            0.022007,            0.014622,             0.89941,             0.96693,             0.94797,             0.69788,             0.02236,           0.0091465,           0.0084168,            0.006535,            0.006535,            0.006535
                  37,            0.028872,            0.023629,            0.013779,             0.92643,             0.97189,             0.95599,             0.73573,            0.018756,           0.0086886,           0.0079743,            0.006436,            0.006436,            0.006436
                  38,              0.0274,            0.022485,            0.013509,             0.92244,             0.95431,             0.95743,             0.72093,            0.021845,           0.0093319,           0.0079424,            0.006337,            0.006337,            0.006337
                  39,            0.028248,            0.022706,            0.013447,             0.89826,             0.96689,             0.96318,             0.74994,            0.018771,           0.0087669,           0.0076744,            0.006238,            0.006238,            0.006238
                  40,            0.028422,             0.02314,            0.013251,             0.92565,             0.97396,             0.97213,             0.74782,            0.019151,           0.0089146,           0.0072439,            0.006139,            0.006139,            0.006139
                  41,            0.027721,            0.022883,            0.012803,             0.94842,               0.972,             0.97718,             0.77978,            0.018187,           0.0085215,           0.0067751,             0.00604,             0.00604,             0.00604
                  42,            0.026435,             0.02065,            0.011679,             0.96979,             0.96743,             0.98738,             0.76469,            0.019176,           0.0086014,           0.0064702,            0.005941,            0.005941,            0.005941
                  43,             0.02683,            0.021718,            0.011668,             0.97764,             0.97211,             0.98838,              0.7757,            0.018082,           0.0085734,            0.006203,            0.005842,            0.005842,            0.005842
                  44,            0.026151,            0.021853,            0.010931,             0.98712,             0.98258,              0.9917,             0.79119,            0.017689,           0.0085163,           0.0057297,            0.005743,            0.005743,            0.005743
                  45,            0.025616,            0.021603,           0.0097112,             0.95916,             0.96596,             0.98605,             0.79519,             0.01667,           0.0090874,           0.0058238,            0.005644,            0.005644,            0.005644
                  46,            0.026113,            0.021253,            0.010108,             0.98543,             0.98824,             0.99308,             0.79063,            0.018635,           0.0081903,            0.004817,            0.005545,            0.005545,            0.005545
                  47,            0.025259,            0.020411,            0.009028,             0.98908,             0.98134,             0.99158,             0.82048,             0.01642,           0.0082998,           0.0046187,            0.005446,            0.005446,            0.005446
                  48,            0.025684,            0.021113,           0.0089364,             0.98505,             0.98578,             0.99184,             0.79668,            0.017748,           0.0084085,           0.0047724,            0.005347,            0.005347,            0.005347
                  49,            0.025714,            0.019478,           0.0091832,             0.99041,             0.98665,             0.99166,             0.79304,            0.017809,           0.0082062,           0.0042408,            0.005248,            0.005248,            0.005248
                  50,            0.024974,            0.020656,            0.008718,             0.98274,              0.9881,              0.9916,             0.81535,            0.016237,            0.008094,           0.0044441,            0.005149,            0.005149,            0.005149
                  51,            0.024992,            0.021375,           0.0086889,             0.98929,             0.98432,             0.99204,             0.82085,            0.016181,           0.0082476,           0.0040531,             0.00505,             0.00505,             0.00505
                  52,            0.024022,            0.020753,           0.0077457,             0.98814,             0.98869,             0.99345,              0.8463,            0.015025,           0.0079122,           0.0037987,            0.004951,            0.004951,            0.004951
                  53,            0.023816,            0.019806,           0.0076054,             0.98744,             0.98998,             0.99224,             0.84973,            0.014547,           0.0076634,           0.0036152,            0.004852,            0.004852,            0.004852
                  54,            0.023375,             0.02095,           0.0074455,             0.98008,             0.98244,             0.98943,             0.80999,            0.015971,           0.0082181,           0.0041313,            0.004753,            0.004753,            0.004753
                  55,            0.023652,            0.020792,           0.0076651,             0.99117,             0.98431,             0.99174,             0.84363,             0.01442,           0.0077314,           0.0037757,            0.004654,            0.004654,            0.004654
                  56,            0.023669,            0.020369,           0.0069063,             0.99025,             0.98016,             0.99318,              0.8157,             0.01561,           0.0078456,           0.0034122,            0.004555,            0.004555,            0.004555
                  57,            0.023759,            0.020053,            0.006947,             0.99078,             0.99013,             0.99399,             0.83441,            0.015652,           0.0079007,           0.0032916,            0.004456,            0.004456,            0.004456
                  58,            0.023559,            0.019063,           0.0081849,             0.99025,             0.98409,             0.99356,               0.828,            0.015997,           0.0078954,           0.0034269,            0.004357,            0.004357,            0.004357
                  59,            0.022347,            0.018204,           0.0071348,             0.98278,             0.98249,             0.99136,             0.82487,            0.016287,           0.0077293,           0.0038002,            0.004258,            0.004258,            0.004258
                  60,            0.022312,            0.018329,           0.0070388,             0.99476,             0.98639,             0.99354,             0.83793,            0.015145,            0.007381,            0.002995,            0.004159,            0.004159,            0.004159
                  61,            0.022501,            0.020014,            0.007268,             0.98836,             0.99049,             0.99354,             0.83835,            0.014513,           0.0073041,           0.0032054,             0.00406,             0.00406,             0.00406
                  62,            0.022547,            0.021258,           0.0067412,             0.99112,             0.98734,             0.99345,             0.86599,            0.014419,           0.0072523,           0.0033364,            0.003961,            0.003961,            0.003961
                  63,            0.021734,            0.018893,           0.0065386,             0.99457,             0.98888,             0.99395,             0.86641,            0.013414,           0.0070419,            0.002857,            0.003862,            0.003862,            0.003862
                  64,             0.02143,            0.020165,           0.0058966,             0.99439,             0.98731,             0.99372,             0.86849,             0.01316,           0.0068944,           0.0028338,            0.003763,            0.003763,            0.003763
                  65,            0.021687,            0.018238,           0.0063071,             0.98665,             0.98972,              0.9928,             0.85247,            0.013888,            0.007198,           0.0028464,            0.003664,            0.003664,            0.003664
                  66,            0.021536,            0.019872,           0.0056694,             0.99181,             0.98549,             0.99294,             0.87019,            0.013246,           0.0070192,           0.0027211,            0.003565,            0.003565,            0.003565
                  67,            0.020706,            0.019955,           0.0061279,             0.99054,             0.99043,             0.99368,             0.86464,            0.013393,           0.0068716,           0.0026699,            0.003466,            0.003466,            0.003466
                  68,            0.020833,            0.017495,           0.0065996,             0.99085,             0.98738,             0.99336,             0.87294,            0.012765,           0.0068491,           0.0026288,            0.003367,            0.003367,            0.003367
                  69,            0.020232,            0.018861,           0.0057025,             0.98889,             0.98534,             0.99291,             0.86995,            0.013527,           0.0070024,           0.0027423,            0.003268,            0.003268,            0.003268
                  70,            0.020244,            0.018337,           0.0059796,             0.99053,             0.98951,             0.99326,             0.87293,            0.012904,           0.0067465,           0.0025029,            0.003169,            0.003169,            0.003169
                  71,            0.020227,            0.019091,           0.0061208,             0.99234,             0.98977,             0.99359,             0.87878,            0.012245,           0.0066109,           0.0025324,             0.00307,             0.00307,             0.00307
                  72,            0.019421,            0.018843,           0.0052062,             0.98907,             0.98935,             0.99237,             0.87444,            0.012539,           0.0067993,           0.0025924,            0.002971,            0.002971,            0.002971
                  73,            0.019602,            0.018682,           0.0052622,             0.99319,             0.98844,             0.99303,             0.87597,            0.012425,           0.0068368,           0.0025014,            0.002872,            0.002872,            0.002872
                  74,            0.019302,            0.018353,           0.0053663,             0.99156,             0.98968,              0.9925,             0.87616,            0.012429,           0.0068212,           0.0024453,            0.002773,            0.002773,            0.002773
                  75,            0.018919,            0.018121,           0.0050739,             0.99395,             0.99265,              0.9939,             0.89081,            0.011711,           0.0066282,           0.0022877,            0.002674,            0.002674,            0.002674
                  76,            0.018705,            0.018171,           0.0053501,             0.99306,             0.99133,             0.99352,             0.88841,            0.011363,           0.0064291,           0.0022453,            0.002575,            0.002575,            0.002575
                  77,            0.018458,            0.018331,           0.0052845,             0.99423,             0.98957,             0.99287,             0.88499,            0.011649,           0.0065045,           0.0022053,            0.002476,            0.002476,            0.002476
                  78,            0.018111,            0.017477,           0.0046792,             0.99379,              0.9918,             0.99331,             0.90092,            0.010847,           0.0062902,           0.0021616,            0.002377,            0.002377,            0.002377
                  79,            0.018107,             0.01719,           0.0046942,             0.99393,             0.99004,             0.99388,              0.8918,             0.01138,           0.0063981,           0.0021006,            0.002278,            0.002278,            0.002278
                  80,            0.017638,            0.017338,           0.0045654,             0.99301,             0.99246,              0.9941,             0.90244,             0.01167,           0.0062426,           0.0020365,            0.002179,            0.002179,            0.002179
                  81,            0.017805,            0.016929,           0.0049536,             0.99486,             0.98998,             0.99381,             0.89393,            0.011334,           0.0061782,           0.0020249,             0.00208,             0.00208,             0.00208
                  82,               0.018,            0.016735,           0.0051954,             0.99519,             0.99195,             0.99322,             0.89986,            0.010981,           0.0062013,           0.0019469,            0.001981,            0.001981,            0.001981
                  83,            0.017548,             0.01712,           0.0050455,             0.99368,             0.99254,             0.99367,             0.89284,            0.011354,           0.0063665,           0.0019457,            0.001882,            0.001882,            0.001882
                  84,            0.017037,            0.017208,           0.0041545,             0.99333,             0.99431,             0.99367,             0.89868,            0.010986,           0.0061807,           0.0019557,            0.001783,            0.001783,            0.001783
                  85,            0.017042,            0.017529,           0.0047731,             0.99306,             0.99338,             0.99346,             0.89809,            0.011054,           0.0062223,           0.0019105,            0.001684,            0.001684,            0.001684
                  86,            0.017377,            0.017625,           0.0048532,             0.99191,             0.99194,              0.9938,             0.90189,            0.010669,           0.0060525,           0.0018808,            0.001585,            0.001585,            0.001585
                  87,            0.016812,            0.017097,           0.0044683,             0.99479,             0.99346,             0.99283,             0.90197,            0.010449,           0.0059409,            0.001789,            0.001486,            0.001486,            0.001486
                  88,            0.016597,            0.017404,            0.004294,             0.99538,             0.99383,             0.99322,             0.91155,            0.010373,           0.0058683,           0.0017473,            0.001387,            0.001387,            0.001387
                  89,            0.016055,            0.017103,           0.0045543,              0.9952,             0.99102,             0.99322,             0.90954,            0.010161,           0.0058207,           0.0017076,            0.001288,            0.001288,            0.001288
                  90,            0.016169,            0.016524,            0.004703,              0.9947,             0.99069,             0.99354,             0.90774,            0.010202,           0.0058047,           0.0016891,            0.001189,            0.001189,            0.001189
                  91,            0.015894,            0.016808,           0.0042461,             0.99307,             0.99122,             0.99312,             0.91469,            0.009989,           0.0057383,           0.0016656,             0.00109,             0.00109,             0.00109
                  92,            0.016099,            0.017339,           0.0045221,             0.99535,             0.99201,             0.99395,             0.91461,           0.0098783,           0.0057763,           0.0016379,            0.000991,            0.000991,            0.000991
                  93,            0.015677,            0.016391,           0.0044507,             0.99497,             0.99053,             0.99386,             0.91462,           0.0099743,           0.0057733,           0.0016196,            0.000892,            0.000892,            0.000892
                  94,            0.015725,            0.016699,           0.0039622,             0.99467,             0.98972,             0.99385,              0.9173,           0.0097753,           0.0057223,           0.0015684,            0.000793,            0.000793,            0.000793
                  95,             0.01522,            0.016185,           0.0037271,             0.99457,             0.99001,             0.99391,             0.91677,           0.0097257,           0.0056676,           0.0015236,            0.000694,            0.000694,            0.000694
                  96,            0.016017,            0.016269,           0.0044421,             0.99452,             0.99035,             0.99393,             0.91822,            0.009646,           0.0056927,           0.0015061,            0.000595,            0.000595,            0.000595
                  97,            0.015678,            0.015932,           0.0047109,             0.99447,             0.99037,             0.99381,             0.91856,           0.0096155,           0.0056412,           0.0015073,            0.000496,            0.000496,            0.000496
                  98,            0.015133,            0.015734,           0.0040683,             0.99473,             0.99006,              0.9939,              0.9198,           0.0095508,           0.0055724,           0.0015007,            0.000397,            0.000397,            0.000397
                  99,            0.015082,             0.01716,           0.0039845,             0.99477,             0.99052,             0.99391,             0.92119,           0.0095656,           0.0055673,           0.0014936,            0.000298,            0.000298,            0.000298
